name,logo_image
Lighthouse Labs,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-lighthouse.png
Civic Action,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/civic-action.png
Sandbox,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/06/Sandbox200.png
Atkinson,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/atkinson.png
Geothink,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/11/geothink.png
Government of Ontario,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-ontario.png
Architech,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-architech.png
Twitter,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/04/twitter.png
Myplanet,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-myplanet.png
TWG The Working Group,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-twg.png
ThoughtWorks,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-thoughtworks.png
HackerYou,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/03/logo-hackeryou.png
Connected,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2020/11/logo-connected.png
ELN Emerging Leaders Network,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-eln.png
Rangle.io,https://mlydg0vejq30.i.optimole.com/w:400/h:400/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2020/11/logo-rangle-io-2019.png
Randstad,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/03/logo-randstad.png
Pivotal,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/07/pivotal200.png
Inter / Access,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-interaccess.png
Gardiner Roberts,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/11/gardiner.png
Mozilla,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2016/08/logo-mozilla.png
Brookfield Institute logo,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/06/brookfield200.png
City of Toronto,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/03/logo-toronto.png
School of Public Policy and Governance at the University of Toronto,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/03/logo-sppg.png
TunnelBear,https://mlydg0vejq30.i.optimole.com/w:200/h:200/q:mauto/f:best/https://civictech.ca/wp-content/uploads/2017/03/logo-tunnelbear.png